"id","betweennessG","indegreeG","outdegreeG","totaldegreeG","inclosenessG","outclosenessG","totalclosenessG","com_mod"
"raul_in_cobos",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"zakrita",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,5
"ZithMadrazo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"critosbel",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"jaimongas",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Gatusa28",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"PauVT",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"octaviohoyos",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"segador67",0,0,4,4,6.77409632874178e-10,6.77497797762921e-10,6.77497797762921e-10,5
"dalisa4",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"richieaho",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"lizzyGC",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"whaleeha",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"CondeDeHomero",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"EraCarmela",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"HayBellamy",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"mendozaconde",0,0,5,5,6.77409632874178e-10,6.77497798221924e-10,6.77497798221924e-10,5
"AlexCastillOr",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"joblg",0,0,4,4,6.77409632874178e-10,6.77480163316458e-10,6.77480163316458e-10,5
"luismree",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Elicitabonita",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"MarxNobel",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,27
"SmokeSellers",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"el_pepitoO",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"SweetAndTie",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Gigibertha",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"allanponce",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"gabbyza",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Vernier_Cascade",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"pipziee",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Gloton72",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"RCova18",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,5
"SibylWilde",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"pantojiitalove",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"danielindie",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Caricatutronico",0,0,15,15,6.77409632874178e-10,6.77815378531522e-10,6.77815378531522e-10,2
"marcos_harris",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
